Date,WghtAvg,Daily,TenGame
7/2/2021,,,
7/3/2021,,,
7/4/2021,,,
7/5/2021,,,
7/6/2021,,,
7/7/2021,,,
7/8/2021,,,
7/9/2021,,,
7/10/2021,,,
7/11/2021,,,
7/12/2021,,70,
7/13/2021,,65,
7/14/2021,,75,
7/15/2021,,51.66666667,
7/16/2021,,68.33333333,
7/17/2021,,,
7/18/2021,,,
7/19/2021,,68.33333333,
7/20/2021,,55,
7/21/2021,,64.40677966,
7/22/2021,,55.17241379,
7/23/2021,,61.40350877,63.43160356
7/24/2021,,,
7/25/2021,,,
7/26/2021,,53.57142857,61.78874641
7/27/2021,,49.15254237,60.20400065
7/28/2021,,68.33333333,59.53733398
7/29/2021,,,
7/30/2021,,,
7/31/2021,,,
8/1/2021,,,
8/2/2021,,56.66666667,60.03733398
8/3/2021,,71.66666667,60.37066732
8/4/2021,,55,59.03733398
8/5/2021,,60,59.53733398
8/6/2021,,58.33333333,58.92998935
8/7/2021,,,
8/8/2021,,,
8/9/2021,,50,58.41274797
8/10/2021,,71.66666667,59.43906376
8/11/2021,,55.17241379,59.59916228
8/12/2021,,,
8/13/2021,,56.66666667,60.35057471
8/14/2021,,,
8/15/2021,,,
8/16/2021,,,
8/17/2021,58.43,,
8/18/2021,58.43,,
8/19/2021,58.43,,
8/20/2021,58.43,,
8/21/2021,58.43,,
8/22/2021,58.43,,
8/23/2021,58.43,,
8/24/2021,58.43,,
8/25/2021,58.43,,
8/26/2021,58.43,,
8/27/2021,58.43,,
8/28/2021,58.43,,
8/29/2021,58.43,,
8/30/2021,58.43,,
8/31/2021,58.43,,
9/1/2021,58.43,,
9/2/2021,58.43,,
9/3/2021,58.43,,
9/4/2021,58.43,,
9/5/2021,58.43,,
9/6/2021,58.43,,
9/7/2021,58.43,,
9/8/2021,58.43,,
9/9/2021,58.43,,
9/10/2021,58.43,,
9/11/2021,58.43,,
9/12/2021,58.43,,
9/13/2021,58.43,51.66666667,58.68390805
9/14/2021,56.61,68.33333333,59.85057471
9/15/2021,56.61,68.33333333,59.51724138
9/16/2021,56.61,,
9/17/2021,56.61,70,61.01724138
9/18/2021,57.95,,
9/19/2021,57.95,,
9/20/2021,57.95,56.66666667,60.68390805
9/21/2021,57.95,63.33333333,61.18390805
9/22/2021,57.95,76.66666667,63.85057471
9/23/2021,57.95,68,63.48390805
9/24/2021,57.95,,
9/25/2021,57.95,,
9/26/2021,57.95,,
9/27/2021,57.95,55,63.46666667
9/28/2021,57.95,68.33333333,64.63333333
9/29/2021,57.95,58.33333333,65.3
9/30/2021,57.95,55,63.96666667
10/1/2021,57.95,61.66666667,63.3
10/2/2021,57.95,,
10/3/2021,57.95,,
10/4/2021,62.77,63.33333333,62.63333333
10/5/2021,62.77,58.33333333,62.8
10/6/2021,62.77,60,62.46666667
10/7/2021,62.77,70,61.8
10/8/2021,62.77,63.33333333,61.33333333
10/9/2021,62.77,,
10/10/2021,62.77,,
10/11/2021,62.77,58.33333333,61.66666667
10/12/2021,62.77,57.62711864,60.5960452
10/13/2021,62.77,,
10/14/2021,62.77,65,61.26271186
10/15/2021,62.77,66.66666667,62.42937853
10/16/2021,62.77,,
10/17/2021,62.77,,
10/18/2021,62.77,66.66666667,62.92937853
10/19/2021,62.77,75,64.0960452
10/20/2021,62.77,63.33333333,64.5960452
10/21/2021,62.77,63.33333333,64.92937853
10/22/2021,62.77,60,63.92937853
10/23/2021,62.77,,
10/24/2021,62.77,,
10/25/2021,62.77,60,63.5960452
10/26/2021,62.77,60,63.76271186
10/27/2021,62.77,61.66666667,64.16666667
10/28/2021,62.77,58.33333333,63.5
10/29/2021,62.77,63.33333333,63.16666667
10/30/2021,62.77,,
10/31/2021,63.17,,
11/1/2021,64.75,63.33333333,62.83333333
11/2/2021,64.86,66.66666667,62
11/3/2021,64.86,66.10169492,62.27683616
11/4/2021,64.86,66.66666667,62.61016949
11/5/2021,64.86,60,62.61016949
11/6/2021,64.86,,
11/7/2021,64.86,,
11/8/2021,62.86,58.33333333,62.44350282
11/9/2021,62.86,60,62.44350282
11/10/2021,62.86,68.33333333,63.11016949
11/11/2021,62.86,65,63.77683616
11/12/2021,62.86,58.33333333,63.27683616
11/13/2021,62.86,,
11/14/2021,62.86,,
11/15/2021,64.82,60,62.94350282
11/16/2021,65.1,63.33333333,62.61016949
11/17/2021,65.1,65,62.5
11/18/2021,65.1,66.66666667,62.5
11/19/2021,65.1,66.66666667,63.16666667
11/20/2021,65.1,,
11/21/2021,65.1,,
11/22/2021,65.1,66.66666667,64
11/23/2021,65.1,50,63
11/24/2021,65.1,63.33333333,62.5
11/25/2021,65.1,60,62
11/26/2021,65.1,70,63.16666667
11/27/2021,65.1,,
11/28/2021,64.03,,
